GeneName	GFOLD(0.01)	1stRPKM
s21_690413_length_235_cvg_7.2_tip_1	0	0.613557
v71_NODE_69535_length_2343_cov_12.729834	7.6538	0.0995897
s21_691157_length_236_cvg_4.0_tip_1	0	0
s21_691195_length_236_cvg_4.6_tip_1	0	0
s21_691521_length_236_cvg_2.2_tip_1	0	0
s21_691777_length_236_cvg_2.2_tip_1	0	0.203653
s21_691853_length_236_cvg_2.0_tip_1	0	0
s21_691891_length_237_cvg_2.5_tip_1	0	0
s21_692019_length_237_cvg_6.0_tip_1	0	0
s21_692465_length_237_cvg_3.9_tip_1	0	0
s21_693463_length_238_cvg_9.7_tip_1	0	0.201941
s21_693639_length_238_cvg_2.0_tip_1	0	0.403882
s21_694461_length_239_cvg_2.0_tip_1	0	0
s21_694525_length_239_cvg_26.1_tip_1	0	0.402192
s21_694659_length_239_cvg_6.3_tip_1	0	0.402192
s21_694807_length_239_cvg_54.0_tip_0	0	0
s31_747346_length_1798_cvg_185.9_tip_0	7.58962	0.0267308
s21_694863_length_239_cvg_2.2_tip_1	0	0.402192
s21_694891_length_239_cvg_26.3_tip_1	0	1.60877
s21_694977_length_239_cvg_4.0_tip_1	0	0.201096
s21_695243_length_240_cvg_113.6_tip_0	0	0
s21_695305_length_240_cvg_9.4_tip_1	0	0.600775
s21_695743_length_240_cvg_3.0_tip_1	0	0
s21_695841_length_240_cvg_2.9_tip_1	0	0
s21_695843_length_240_cvg_2.0_tip_1	0	0.200258
s21_696314_length_241_cvg_2.4_tip_1	0	0
s21_696494_length_241_cvg_27.9_tip_1	0	0.398855
s21_696566_length_241_cvg_2.0_tip_1	0	0.398855
s21_696642_length_241_cvg_13.7_tip_1	0	0
s21_697188_length_241_cvg_2.0_tip_1	0	0
s21_697684_length_242_cvg_3.5_tip_1	0	0
s21_697728_length_242_cvg_2.6_tip_1	0	0
s21_697752_length_242_cvg_10.2_tip_1	0	0
s21_698462_length_243_cvg_6.4_tip_1	0	0
s21_698992_length_243_cvg_18.0_tip_1	0	0
s21_699610_length_244_cvg_2.2_tip_1	0	0
s21_700032_length_244_cvg_3.1_tip_1	0	0
s21_701754_length_245_cvg_2.9_tip_1	0	0
s21_701812_length_246_cvg_3.0_tip_1	0	0
s21_701836_length_246_cvg_2.0_tip_1	0	0
s21_702626_length_246_cvg_2.0_tip_1	0	0
s21_702808_length_246_cvg_16.8_tip_1	0	0
s21_703212_length_247_cvg_5.9_tip_1	0	0.194583
s21_703410_length_247_cvg_44.7_tip_1	0	0
s21_703686_length_247_cvg_2.0_tip_1	0	0.194583
s21_703894_length_247_cvg_2.0_tip_1	0	0.194583
s21_704660_length_248_cvg_2.0_tip_1	0	0.193798
s21_704896_length_248_cvg_62.0_tip_1	0	0.193798
s21_704897_length_248_cvg_3.0_tip_1	0	0
s21_704919_length_248_cvg_3.2_tip_1	0	0.387597
s21_704947_length_249_cvg_2.0_tip_1	0	0
s21_705013_length_249_cvg_2.7_tip_1	0	0
s21_705395_length_249_cvg_4.5_tip_1	0	0.19302
s21_705561_length_249_cvg_3.8_tip_1	0	0
s21_705661_length_249_cvg_3.0_tip_1	0	0
s21_706281_length_250_cvg_5.4_tip_1	0	0
s21_706383_length_250_cvg_4.5_tip_1	0	0
s21_706609_length_250_cvg_9.1_tip_1	0	0.384496
s21_706746_length_250_cvg_2.8_tip_1	0	0.192248
s21_706796_length_250_cvg_2.0_tip_1	0	0
s21_706842_length_250_cvg_5.4_tip_1	0	0
s21_706904_length_250_cvg_2.0_tip_1	0	0.192248
s21_707126_length_251_cvg_5.2_tip_1	0	0.191482
s21_707314_length_251_cvg_12.0_tip_1	0	0.765928
s21_707618_length_251_cvg_2.6_tip_1	0	0
s21_707976_length_252_cvg_2.6_tip_1	0	0
s21_707982_length_252_cvg_5.1_tip_1	0	0
s21_708704_length_252_cvg_77.0_tip_1	0	0
s21_709451_length_253_cvg_14.2_tip_1	0	0.379937
s21_709871_length_254_cvg_4.8_tip_1	0	0.18922
s21_710013_length_254_cvg_2.0_tip_1	0	0
s21_710293_length_254_cvg_26.9_tip_1	0	2.08142
s21_710370_length_254_cvg_2.0_tip_1	0	0.378441
s21_710572_length_254_cvg_3.5_tip_1	0	0
s21_710732_length_254_cvg_2.7_tip_1	0	0.378441
s21_710750_length_254_cvg_2.9_tip_1	0	0.18922
s21_711044_length_255_cvg_2.1_tip_1	0	0.188478
s21_711158_length_255_cvg_3.0_tip_1	0	0
s21_711178_length_255_cvg_6.5_tip_1	0	0
s21_711620_length_255_cvg_6.8_tip_1	0	0
s21_711870_length_255_cvg_14.8_tip_1	0	0.376957
s21_712040_length_256_cvg_9.0_tip_1	0	0
s21_712152_length_256_cvg_2.0_tip_1	0	0
s21_712188_length_256_cvg_21.9_tip_1	0	0
s21_712570_length_256_cvg_62.1_tip_0	0	0.750969
s21_713020_length_257_cvg_3.5_tip_1	0	0
s21_713414_length_257_cvg_3.6_tip_1	0	0
s21_713718_length_257_cvg_2.5_tip_1	0	0
s21_713828_length_258_cvg_6.7_tip_1	0	0
s21_713838_length_258_cvg_5.6_tip_1	0	0
s21_844779_length_603_cvg_243.6_tip_0	7.57631	0.15941
t25_c72938_g3_i12	7.49688	0.973864
s21_714328_length_258_cvg_59.7_tip_1	0	0
s21_714462_length_258_cvg_3.7_tip_1	0	0.372574
s21_714790_length_259_cvg_3.8_tip_1	0	0
s21_715036_length_259_cvg_5.0_tip_1	0	0.371135
s21_715178_length_259_cvg_5.7_tip_1	0	0.556703
s21_715306_length_259_cvg_12.3_tip_1	0	0.74227
s21_715658_length_259_cvg_2.0_tip_1	0	0
s21_716210_length_260_cvg_69.0_tip_1	0	0
s21_716537_length_260_cvg_3.9_tip_1	0	0
s21_716560_length_260_cvg_6.8_tip_1	0	0
s21_716898_length_261_cvg_3.0_tip_1	0	0.552437
s21_717652_length_262_cvg_2.0_tip_1	0	0
s21_718466_length_263_cvg_2.4_tip_1	0	0.36549
s21_718744_length_263_cvg_2.3_tip_1	0	0.36549
s21_718990_length_263_cvg_2.0_tip_1	0	0
s21_719734_length_264_cvg_43.6_tip_0	0	0.182053
s21_719738_length_264_cvg_45.3_tip_1	0	0.364106
s21_719974_length_264_cvg_2.9_tip_1	0	0
s21_720054_length_264_cvg_57.4_tip_1	0	0
s21_720416_length_265_cvg_9.8_tip_1	0	0.181366
s21_720620_length_265_cvg_2.0_tip_1	0	0.181366
s21_721002_length_265_cvg_5.8_tip_1	0	0
s21_721148_length_265_cvg_6.4_tip_1	0	0
s21_721556_length_266_cvg_2.0_tip_1	0	0
s21_721756_length_266_cvg_2.0_tip_1	0	0
s21_722572_length_267_cvg_8.0_tip_1	0	0
s21_722762_length_267_cvg_111.6_tip_0	0	2.3401
s21_722828_length_267_cvg_2.8_tip_1	0	0.180007
s21_722880_length_267_cvg_2.0_tip_1	0	0
s21_723272_length_268_cvg_4.2_tip_1	0	0
